,b3C9s,g7R2j,k4W1c,m3D1v,r8S3g,s8Y2f,t5V9e,y9W5d
01d8aa21ef476b66c573,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
03aa0b20dd4af1888eef,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
0a8736f6520cea837d94,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
0maggb1hf886m5u6p2vr,0.6,0.9333333333333333,0.0,0.5555555555555556,0.3333333333333333,0.0,0.8,0.7575757575757576
10de703c06bf9d873d68,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
18cdd44af62c6935e7a0,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
1b25734414fcc7466153,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
1e25b47eaef62694a236,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
1mp9yiw6rkrr3846047g,0.8,0.6,0.0,0.4166666666666667,0.3333333333333333,0.0,0.4,0.8181818181818182
22ae866c664a147f9971,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
360820d6620d17d1b48b,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
37ae91c472189108a737,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
3c89c7f1db26ae691db8,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
3d63ba961a5f3a60616a,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
47eeab842793b09300c3,1.0,0.6,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
47vclaej1xmb0rc8kgka,1.0,0.6666666666666666,0.0,0.4444444444444444,0.6666666666666666,0.0,0.7,0.696969696969697
488934d01a504bc212b4,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
545eb6c8154273344669,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
54826f4abf592713d585,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
57709f904b1cc9ec60b1,1.0,1.0,0.0,0.75,0.8333333333333334,0.0,1.0,1.0
